TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant,
11,60,64,51,73,d,4,-9,False,True,False,7.63153481483,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6836209297,True,False,False,73,27092019,59.9477460481,PreComm_Task,700,
12,38,18,47,9,p,20,-9,True,False,False,7.64898085594,False,True,False,0,0,0,0,0.23,0,False,False,0,False,False,False,10.6999027729,False,True,False,47,27092019,59.9477460481,PreComm_Task,700,
13,52,40,49,43,g,12,3,True,False,False,7.64862108231,True,False,False,False,0,0,0.4,0.23,True,False,False,17.2495560646,False,False,True,0,False,False,False,43,27092019,59.9477460481,PreComm_Task,700,
14,44,64,41,67,n,20,-3,False,True,False,7.63216781616,False,True,False,0,0,0,0,0.25,0,False,False,0,False,False,False,10.6822619438,True,False,False,67,27092019,59.9477460481,PreComm_Task,700,
15,48,52,61,39,e,4,13,False,False,True,7.6324839592,True,False,False,False,0,0,0.6,0.25,True,False,False,17.4500851631,False,False,True,0,False,False,False,39,27092019,59.9477460481,PreComm_Task,700,
16,33,61,30,64,t,28,-3,False,True,False,7.64819407463,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.6997220516,True,False,False,64,27092019,59.9477460481,PreComm_Task,700,
17,48,76,51,73,s,28,3,False,True,False,7.63252305984,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.6833529472,True,False,False,73,27092019,59.9477460481,PreComm_Task,700,
18,23,51,10,64,x,28,-13,False,True,False,7.66523599625,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.717236042,True,False,False,64,27092019,59.9477460481,PreComm_Task,700,
19,19,47,10,56,v,28,-9,False,True,False,7.68102002144,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.7328870296,True,False,False,56,27092019,59.9477460481,PreComm_Task,700,
20,35,31,38,28,b,4,-3,True,False,False,7.63194298744,True,False,False,True,0.215226888657,16.8820679188,1.1,0.27,False,True,False,0,False,False,False,0,False,False,False,38,27092019,59.9477460481,PreComm_Task,700,
21,59,55,56,58,a,4,3,False,False,True,7.63193702698,True,False,False,False,0,0,1.1,0.25,True,False,False,17.9500300884,False,False,True,0,False,False,False,58,27092019,59.9477460481,PreComm_Task,700,
22,81,53,72,62,u,28,9,True,False,False,7.66518092155,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.7164540291,False,True,False,72,27092019,59.9477460481,PreComm_Task,700,
23,77,49,64,62,w,28,13,True,False,False,7.66560983658,False,True,False,0,0,0,0,0.27,0,False,False,0,False,False,False,10.7162499428,False,True,False,64,27092019,59.9477460481,PreComm_Task,700,
24,52,32,43,41,o,20,9,True,False,False,7.66517901421,True,False,False,False,0,0,0.2,0.27,True,False,False,17.0996980667,False,False,True,0,False,False,False,41,27092019,59.9477460481,PreComm_Task,700,
1,41,61,38,64,n,20,-3,False,True,False,7.65160989761,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.7029519081,True,False,False,64,27092019,59.9477460481,PreComm_Task,700,
2,77,65,86,56,j,12,-9,True,False,False,7.64866495132,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.7001459599,False,True,False,86,27092019,59.9477460481,PreComm_Task,700,
3,45,57,42,60,h,12,-3,False,True,False,7.64824986458,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.6995739937,True,False,False,60,27092019,59.9477460481,PreComm_Task,700,
4,60,32,51,41,u,28,9,True,False,False,7.66588497162,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.7167031765,False,True,False,51,27092019,59.9477460481,PreComm_Task,700,
5,70,74,73,71,a,4,3,False,False,True,7.63206100464,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.6836659908,True,False,False,71,27092019,59.9477460481,PreComm_Task,700,
6,44,40,35,49,c,4,9,False,False,True,7.66622781754,True,False,False,False,0,0,0.6,0.29,True,False,False,17.5174508095,False,True,False,0,False,False,False,35,27092019,59.9477460481,PreComm_Task,700,
7,77,49,80,46,t,28,-3,True,False,False,7.63203477859,False,True,False,0,0,0,0,0.31,0,False,False,0,False,False,False,10.6832139492,False,True,False,80,27092019,59.9477460481,PreComm_Task,700,
8,23,51,10,64,x,28,-13,False,True,False,7.68251299858,True,False,False,True,0.216204166412,16.2329781055,0.4,0.31,False,False,True,0,False,False,False,0,False,False,False,64,27092019,59.9477460481,PreComm_Task,700,
9,22,42,31,33,o,20,9,False,True,False,7.63296413422,False,True,False,0,0,0,0,0.29,0,False,False,0,False,False,False,10.6841700077,True,False,False,33,27092019,59.9477460481,PreComm_Task,700,
