TrialNumber,OptionA,OptionB,EndA,EndB,letter,difference,change,A_alwaysBest,B_alwaysBest,Best_changes,Choice_RT,Choice_Wait,Choice_Commit,Choice_Miss,Press_hit,Play_RT,RT_trialClock_play,ITI_play,Square_timing,Press_miss,Play_win_A,Play_win_B,Late_RT,Play_lost,Play_lost_chosenA,Play_lost_chosenB,Precomm_RT,Precomm_B,Precomm_A,Precomm_miss,Earnings,date,frameRate,expName,participant
36,17,29,20,26,g4,0,3,FALSE,TRUE,FALSE,7.666681051,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.7167449,TRUE,FALSE,FALSE,26,4062019,60.16556524,PreComm_Task,L1_A
37,72,76,85,63,e3,0,13,FALSE,FALSE,TRUE,7.683712006,TRUE,FALSE,FALSE,FALSE,0,0,0.2,0.25,TRUE,FALSE,FALSE,17.10159802,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,63,4062019,60.16556524,PreComm_Task,L1_A
38,46,42,33,55,e1,0,13,FALSE,FALSE,TRUE,7.632678986,TRUE,FALSE,FALSE,TRUE,0.28421998,16.0502398,0.2,0.3,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,55,4062019,60.16556524,PreComm_Task,L1_A
39,65,69,78,56,e2,0,13,FALSE,FALSE,TRUE,7.650852919,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70032787,TRUE,FALSE,FALSE,56,4062019,60.16556524,PreComm_Task,L1_A
40,67,63,76,54,d2,0,-9,TRUE,FALSE,FALSE,7.648304939,FALSE,TRUE,FALSE,0,0,0,0,0.25,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.7001431,FALSE,TRUE,FALSE,76,4062019,60.16556524,PreComm_Task,L1_A
41,60,64,73,51,e4,0,13,FALSE,FALSE,TRUE,7.616672039,TRUE,FALSE,FALSE,TRUE,0.233330011,16.28469086,0.5,0.25,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,73,4062019,60.16556524,PreComm_Task,L1_A
42,42,30,45,27,h1,0,-3,TRUE,FALSE,FALSE,7.648962021,TRUE,FALSE,FALSE,FALSE,0,0,1,0.2,TRUE,FALSE,FALSE,17.83390903,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,45,4062019,60.16556524,PreComm_Task,L1_A
43,34,46,25,55,j3,0,-9,FALSE,TRUE,FALSE,7.63380599,TRUE,FALSE,FALSE,FALSE,0,0,0.5,0.25,TRUE,FALSE,FALSE,17.35183811,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,55,4062019,60.16556524,PreComm_Task,L1_A
44,20,24,11,33,d3,0,-9,FALSE,TRUE,FALSE,7.665747881,FALSE,TRUE,FALSE,0,0,0,0,0.3,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.71743202,TRUE,FALSE,FALSE,33,4062019,60.16556524,PreComm_Task,L1_A
45,64,76,67,73,g1,0,3,FALSE,TRUE,FALSE,7.650149822,FALSE,TRUE,FALSE,0,0,0,0,0.3,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70107079,FALSE,TRUE,FALSE,67,4062019,60.16556524,PreComm_Task,L1_A
46,32,44,19,57,l3,0,-13,FALSE,TRUE,FALSE,7.631772041,TRUE,FALSE,FALSE,TRUE,0.214798927,16.88206506,1.1,0.3,FALSE,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,57,4062019,60.16556524,PreComm_Task,L1_A
47,70,74,57,87,f2,0,-13,FALSE,TRUE,FALSE,7.665139198,TRUE,FALSE,FALSE,TRUE,0.224260807,16.3243742,0.5,0.25,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,57,4062019,60.16556524,PreComm_Task,L1_A
48,20,32,7,45,l1,0,-13,FALSE,TRUE,FALSE,7.649214029,FALSE,TRUE,FALSE,0,0,0,0,0.2,0,FALSE,FALSE,0,FALSE,FALSE,FALSE,10.70060205,TRUE,FALSE,FALSE,45,4062019,60.16556524,PreComm_Task,L1_A
1,28,48,31,45,a2,0,3,FALSE,TRUE,FALSE,7.628859043,TRUE,FALSE,FALSE,FALSE,0,0,0.6,0.2,TRUE,FALSE,FALSE,17.41452098,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,31,4062019,60.16556524,PreComm_Task,L1_A
